Vivado Simulator 2020.1
Time resolution is 1 ps
Note: File type : P3
Note: Width: 25
Note: Height: 25
Note: Max encoding: 255
Note: Pixel#244: Red Value: 0, Green Value 255, Blue Value: 255
Note: Pixel#245: Red Value: 255, Green Value 0, Blue Value: 0
Note: Pixel#246: Red Value: 255, Green Value 0, Blue Value: 0
Note: Pixel#247: Red Value: 255, Green Value 0, Blue Value: 0
Note: Pixel#248: Red Value: 255, Green Value 0, Blue Value: 0
Note: Pixel#249: Red Value: 255, Green Value 0, Blue Value: 0
Note: Pixel#250: Red Value: 0, Green Value 255, Blue Value: 0
Note: Pixel#251: Red Value: 0, Green Value 255, Blue Value: 0
Note: Pixel#252: Red Value: 0, Green Value 255, Blue Value: 0
Note: Pixel#253: Red Value: 0, Green Value 255, Blue Value: 0
Note: Pixel#254: Red Value: 0, Green Value 255, Blue Value: 0
Note: Pixel#255: Red Value: 255, Green Value 255, Blue Value: 255
Note: Pixel#256: Red Value: 255, Green Value 255, Blue Value: 255
Note: Pixel#257: Red Value: 255, Green Value 255, Blue Value: 255
Note: Pixel#258: Red Value: 255, Green Value 255, Blue Value: 255
Note: Pixel#259: Red Value: 255, Green Value 255, Blue Value: 255
Note: Pixel#260: Red Value: 0, Green Value 255, Blue Value: 255
Note: Pixel#261: Red Value: 0, Green Value 255, Blue Value: 255
Note: Pixel#262: Red Value: 0, Green Value 255, Blue Value: 255
Note: Pixel#263: Red Value: 0, Green Value 255, Blue Value: 255
Note: Pixel#264: Red Value: 0, Green Value 255, Blue Value: 255
Note: Pixel#265: Red Value: 255, Green Value 0, Blue Value: 0
Note: Pixel#266: Red Value: 255, Green Value 0, Blue Value: 0
Note: Pixel#267: Red Value: 255, Green Value 0, Blue Value: 0
Note: Pixel#268: Red Value: 255, Green Value 0, Blue Value: 0
Note: Pixel#269: Red Value: 255, Green Value 0, Blue Value: 0
Note: Pixel#270: Red Value: 255, Green Value 255, Blue Value: 0
Note: Pixel#271: Red Value: 255, Green Value 255, Blue Value: 0
Note: Pixel#272: Red Value: 255, Green Value 255, Blue Value: 0
Note: Pixel#273: Red Value: 255, Green Value 255, Blue Value: 0
Note: Pixel#274: Red Value: 255, Green Value 255, Blue Value: 0
